Unnamed: 0,Year_Month,Province,Average NO2 Value,Average PM2.5 Value,Average PM10 Value,area_km2_st,vehicles_tot,Year,RegioS
561.0,2018-11-01,Utrecht,1.1053302652803032,1.4697869525542169,0.9456731275605073,0.0,0.2266786376344053,,
562.0,2018-11-01,Zeeland,0.5563630368869679,,0.9456731275605073,0.0,-1.5053621895354865,,
563.0,2018-11-01,Zuid-Holland,1.6542974936736383,2.0089011796829093,1.176481484117648,0.0,1.487081592756217,,
564.0,2018-12-01,Drenthe,-0.4317779742210358,,-0.9007937248966186,0.0,-1.0521706297180344,,
565.0,2018-12-01,Flevoland,0.0073958084936324,,-0.4391770117823371,0.0,-0.9524340992609523,,
566.0,2018-12-01,Friesland,-0.4317779742210358,-0.4171128423962051,-0.6699853683394779,0.0,-0.6815982209571082,,
567.0,2018-12-01,Gelderland,0.666156482565635,0.6611156118611788,0.253248057889085,0.0,0.9589488557843924,,
568.0,2018-12-01,Groningen,0.3367761455296337,-0.1475557288318591,1.176481484117648,0.0,-1.0289073219540792,,
569.0,2018-12-01,Limburg,0.3367761455296337,0.3915584982968328,-0.2083686552251964,0.0,0.0075417125728072,,
570.0,2018-12-01,Noord-Brabant,0.775949928244302,0.6611156118611788,0.4840564144462256,0.0,1.359605384092034,,
571.0,2018-12-01,Noord-Holland,1.4347106023163043,0.6611156118611788,0.4840564144462256,0.0,1.0743410235384998,,
572.0,2018-12-01,Overijssel,-0.2121910828637017,0.1220013847324868,-0.4391770117823371,0.0,0.1062752550472887,,
573.0,2018-12-01,Utrecht,0.9955368196016362,0.3915584982968328,0.253248057889085,0.0,0.2266786376344053,,
574.0,2018-12-01,Zeeland,-0.1023976371850346,,0.253248057889085,0.0,-1.5053621895354865,,
575.0,2018-12-01,Zuid-Holland,1.5445040479949714,0.6611156118611788,0.7148647710033664,0.0,1.487081592756217,,
576.0,2019-01-01,Drenthe,-0.5415714198997029,,0.4840564144462256,0.0,-1.0521706297180344,,
577.0,2019-01-01,Flevoland,-0.1023976371850346,,0.253248057889085,0.0,-0.9524340992609523,,
